testcase,controllerType,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,heuristic,comments,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
CM-3-2,compos,6238.0,1681.0,15676.0,4741.0,14669.0,2420.0,1357.0,90.0,2839.0,407.89MB,40.0,True,RA,,14709.0,RA,34229.0,123754.0,0.05,0.18,0.04,0.13,1.9555,1.0965,0.0727,2.2941,3,2,407.89
CM-3-2,mono,34229.0,3717.0,123754.0,7786.0,469.0,0.0,0.0,0.0,0.0,265.13MB,209.0,True,,,678.0,Monolithic,34229.0,123754.0,0.11,1.0,0.06,1.0,0.0,0.0,0.0,0.0,3,2,265.13
CM-3-3,compos,,,,,,,,,,0MB,,,MA,TO,1800000.0,MA,359605.0,1406590.0,,,,,,,,,3,3,
CM-3-3,compos,31490.0,4729.0,81861.0,13812.0,667865.0,18943.0,3125.0,514.0,12871.0,539.67MB,51.0,True,RA,,667916.0,RA,359605.0,1406590.0,0.01,0.09,0.01,0.06,1.3467,0.2222,0.0365,0.915,3,3,539.67
CM-3-3,compos,,,,,,,,,,0MB,,,BFS,TO,1800000.0,BFS,359605.0,1406590.0,,,,,,,,,3,3,
CM-3-3,mono,359605.0,20519.0,1406590.0,40610.0,4914.0,0.0,0.0,0.0,0.0,2.42GB,1098.0,True,,,6012.0,Monolithic,359605.0,1406590.0,0.06,1.0,0.03,1.0,0.0,0.0,0.0,0.0,3,3,2478.08
CM-3-4,compos,,,,,,,,,,0MB,,,RA,TO,1800000.0,RA,,,,,,,,,,,3,4,
CM-3-4,mono,,,,,,,,,,0MB,,,,Exception,-1.0,Monolithic,,,,,,,,,,,3,4,
CM-4-1,compos,2759.0,1787.0,9050.0,6620.0,21673.0,2818.0,0.0,1.0,84.0,286.37MB,41.0,True,MA,,21714.0,MA,8175.0,34136.0,0.22,0.34,0.19,0.27,8.2552,0.0,0.0029,0.2461,4,1,286.37
CM-4-1,compos,11850.0,1787.0,25487.0,6620.0,53112.0,2074.0,12.0,1.0,9362.0,325.34MB,39.0,True,BFS,,53151.0,BFS,8175.0,34136.0,0.22,1.45,0.19,0.75,6.0757,0.0352,0.0029,27.4256,4,1,325.34
CM-4-1,compos,2655.0,1787.0,8828.0,6620.0,15668.0,3604.0,0.0,1.0,0.0,293.10MB,41.0,True,RA,,15709.0,RA,8175.0,34136.0,0.22,0.32,0.19,0.26,10.5578,0.0,0.0029,0.0,4,1,293.1
CM-4-1,mono,8175.0,3373.0,34136.0,8508.0,177.0,0.0,0.0,0.0,0.0,82.41MB,112.0,True,,,289.0,Monolithic,8175.0,34136.0,0.41,1.0,0.25,1.0,0.0,0.0,0.0,0.0,4,1,82.41
