testcase,controllerType,heuristic,comments,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
AT-8-3,compos,BFS,TO,,,,,,,,,,0MB,,,1800000.0,BFS,,,,,,,,,,,8,3,
AT-8-3,compos,RA,,208551.0,0.0,306305.0,0.0,287554.0,0.0,0.0,0.0,113422.0,786.41MB,43.0,False,287597.0,RA,,,,,,,,,,,8,3,786.41
AT-8-3,compos,MA,TO,,,,,,,,,,0MB,,,1800000.0,MA,,,,,,,,,,,8,3,
AT-8-3,mono,,Exception,,,,,,,,,,0MB,,,-1.0,Monolithic,,,,,,,,,,,8,3,
AT-8-4,compos,RA,,833914.0,0.0,1236731.0,0.0,1739735.0,0.0,0.0,0.0,500503.0,1.95GB,50.0,False,1739785.0,RA,,,,,,,,,,,8,4,1996.8
AT-8-5,compos,RA,TO,,,,,,,,,,0MB,,,1800000.0,RA,,,,,,,,,,,8,5,
AT-9-1,compos,MA,,5.0,0.0,4.0,0.0,61.0,0.0,0.0,0.0,1.0,15.45MB,34.0,False,95.0,MA,233218.0,725779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,9,1,15.45
AT-9-1,compos,RA,,5.0,0.0,4.0,0.0,76.0,0.0,0.0,0.0,1.0,15.47MB,35.0,False,111.0,RA,233218.0,725779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,9,1,15.47
AT-9-1,compos,BFS,,17.0,0.0,16.0,0.0,13.0,0.0,0.0,0.0,2.0,15.45MB,35.0,False,48.0,BFS,233218.0,725779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,9,1,15.45
AT-9-1,mono,,,233218.0,0.0,725779.0,0.0,1332.0,0.0,0.0,0.0,0.0,1.28GB,613.0,False,1945.0,Monolithic,233218.0,725779.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9,1,1310.72
AT-9-2,compos,RA,,53257.0,0.0,67927.0,0.0,65738.0,0.0,0.0,0.0,12748.0,444.63MB,44.0,False,65782.0,RA,,,,,,,,,,,9,2,444.63
AT-9-2,compos,MA,,7153.0,0.0,9435.0,0.0,25650.0,436.0,0.0,0.0,1248.0,242.44MB,55.0,False,25705.0,MA,,,,,,,,,,,9,2,242.44
AT-9-2,compos,BFS,,6004.0,0.0,8602.0,0.0,3559.0,615.0,0.0,0.0,262.0,137.12MB,45.0,False,3604.0,BFS,,,,,,,,,,,9,2,137.12
AT-9-2,mono,,Exception,,,,,,,,,,0MB,,,-1.0,Monolithic,,,,,,,,,,,9,2,
AT-9-3,compos,BFS,,1578.0,0.0,1965.0,0.0,161.0,0.0,0.0,0.0,208.0,16.97MB,45.0,False,206.0,BFS,,,,,,,,,,,9,3,16.97
AT-9-3,compos,MA,,271428.0,0.0,422562.0,0.0,1140976.0,973.0,0.0,0.0,180771.0,1.13GB,46.0,False,1141022.0,MA,,,,,,,,,,,9,3,1157.12
AT-9-3,compos,RA,,664193.0,0.0,970921.0,0.0,1270768.0,0.0,0.0,0.0,374209.0,1.55GB,44.0,False,1270812.0,RA,,,,,,,,,,,9,3,1587.2
AT-9-4,compos,RA,TO,,,,,,,,,,0MB,,,1800000.0,RA,,,,,,,,,,,9,4,
