testcase,controllerType,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,heuristic,comments
BW-4-5,compos,10510,378,33029,944,223710,5948,0,1,5089,348.14MB,28,True,BFS,
BW-4-5,compos,,,,,,,,,,,,,RA,TO
BW-4-5,compos,,,,,,,,,,,,,MA,TO
BW-4-5,mono,20738,20737,122312,87472,621,0,0,0,0,283.59MB,212,True,,
BW-4-6,compos,16899,1004,56367,3000,769444,10809,0,1,7731,371.12MB,29,True,BFS,
BW-4-6,mono,38418,38417,227718,166049,1010,0,0,0,0,528.60MB,262,True,,
BW-4-7,compos,,,,,,,,,,,,,BFS,TO
BW-4-7,mono,65538,65537,389960,288368,1690,0,0,0,0,884.88MB,356,True,,
BW-4-8,mono,104978,104977,626534,468241,2737,0,0,0,0,1.52GB,472,True,,
BW-4-9,mono,160002,160001,957288,721376,4234,0,0,0,0,2.00GB,613,True,,
BW-5-1,compos,2773,704,6893,2273,3535,31,0,1,3016,115.99MB,33,True,BFS,
BW-5-1,compos,1021,467,3473,1429,4269,1598,0,1,0,210.41MB,28,True,MA,
BW-5-1,compos,723,218,1846,521,1691,941,0,1,0,103.50MB,27,True,RA,
BW-5-1,mono,1026,1025,6893,3374,79,0,0,0,0,19.15MB,66,True,,
BW-5-2,compos,14590,1424,40652,4795,251044,2474,0,1,10003,418.87MB,38,True,BFS,
BW-5-2,compos,7474,2558,31073,9882,412947,20231,0,1,0,349.38MB,28,True,RA,
BW-5-2,compos,7747,2603,34255,9648,535664,14769,0,1,9,324.36MB,37,True,MA,
BW-5-2,mono,7778,7777,53895,32705,306,0,0,0,0,111.73MB,137,True,,
BW-5-3,compos,,,,,,,,,,,,,RA,TO
BW-5-3,compos,,,,,,,,,,,,,MA,TO
BW-5-3,compos,,,,,,,,,,,,,BFS,TO
BW-5-3,mono,32770,32769,231537,152556,1030,0,0,0,0,558.36MB,242,True,,
BW-5-4,mono,100002,100001,715559,492257,3066,0,0,0,0,1.49GB,475,True,,
BW-5-5,mono,248834,248833,1796181,1268858,7981,0,0,0,0,3.25GB,1009,True,,
BW-5-6,mono,537826,537825,3907143,2810049,20447,0,0,0,0,6.48GB,2345,True,,
BW-5-7,mono,,,,,,,,,,,,,,Exception
BW-6-1,compos,11826,2590,32186,9443,77860,64,0,1,13684,425.32MB,29,True,BFS,
BW-6-1,compos,3104,640,10047,1838,59698,5960,0,1,0,325.51MB,38,True,RA,
BW-6-1,compos,4097,2021,17792,7004,140828,8742,0,1,0,356.16MB,28,True,MA,
BW-6-1,mono,4098,4097,32186,15720,224,0,0,0,0,75.26MB,85,True,,
BW-6-2,compos,,,,,,,,,,,,,RA,TO
BW-6-2,compos,,,,,,,,,,,,,MA,TO
BW-6-2,compos,,,,,,,,,,,,,BFS,TO
BW-6-2,mono,46658,46657,381448,229249,1590,0,0,0,0,647.26MB,301,True,,
BW-6-3,mono,262146,262145,2193946,1426232,9505,0,0,0,0,3.67GB,1225,True,,
BW-6-4,mono,,,,,,,,,,,,,,Exception
BW-7-1,compos,50415,7288,147743,30321,1678165,1100,0,1,61592,734.85MB,28,True,BFS,
BW-7-1,compos,,,,,,,,,,,,,MA,TO
BW-7-1,compos,10445,2102,37095,7227,1429679,23018,0,1,0,471.47MB,29,True,RA,
BW-7-1,mono,16386,16385,147743,71670,654,0,0,0,0,261.56MB,190,True,,
BW-7-2,compos,,,,,,,,,,,,,RA,TO
BW-7-2,compos,,,,,,,,,,,,,BFS,TO
BW-7-2,mono,279938,279937,2645513,1570049,11467,0,0,0,0,4.23GB,1386,True,,
BW-7-3,mono,,,,,,,,,,,,,,Exception
BW-8-1,compos,,,,,,,,,,,,,BFS,TO
BW-8-1,compos,,,,,,,,,,,,,RA,TO
BW-8-1,mono,65538,65537,668492,321376,2342,0,0,0,0,1.21GB,429,True,,
BW-8-2,mono,,,,,,,,,,,,,,Exception
BW-9-1,mono,262146,262145,2988497,1422622,11900,0,0,0,0,4.65GB,1395,True,,
BW-9-2,mono,,,,,,,,,,,,,,Exception
