testcase,controllerType,heuristic,expandedStates,usedStates,expandedTransitions,usedTransitions,synthesisTimeMs,findGoals,findErrors,propGoals,propErrors,memUsed,compositionTimeMs,isControllable,comments,totalTimeMs,method,totalStates,totalTransitions,states_used/total,states_expanded/total,transitions_used/total,transitions_expanded/total,findGoalsRatio,findErrorsRatio,propagateGoalsRatio,propagateErrorsRatio,n,k,memUsedMB
DP-2-11,compos,MA,777.0,172.0,1098.0,296.0,314.0,100.0,3.0,1.0,44.0,132.27MB,27.0,True,,341.0,MA,1032.0,2126.0,0.17,0.75,0.14,0.52,4.7037,0.1411,0.047,2.0696,2,11,132.27
DP-2-11,mono,,1032.0,311.0,2126.0,533.0,26.0,0.0,0.0,0.0,0.0,13.03MB,94.0,True,,120.0,Monolithic,1032.0,2126.0,0.3,1.0,0.25,1.0,0.0,0.0,0.0,0.0,2,11,13.03
DP-2-12,compos,MA,874.0,181.0,1215.0,310.0,364.0,115.0,2.0,1.0,48.0,19.90MB,27.0,True,,391.0,MA,1177.0,2435.0,0.15,0.74,0.13,0.5,4.7228,0.0821,0.0411,1.9713,2,12,19.9
DP-2-12,compos,RA,58.0,45.0,62.0,49.0,73.0,4.0,0.0,1.0,1.0,19.44MB,29.0,True,,102.0,RA,1177.0,2435.0,0.04,0.05,0.02,0.03,0.1643,0.0,0.0411,0.0411,2,12,19.44
DP-2-12,compos,BFS,555.0,104.0,720.0,155.0,85.0,15.0,1.0,38.0,28.0,18.38MB,28.0,True,,113.0,BFS,1177.0,2435.0,0.09,0.47,0.06,0.3,0.616,0.0411,1.5606,1.1499,2,12,18.38
DP-2-12,mono,,1177.0,331.0,2435.0,567.0,37.0,0.0,0.0,0.0,0.0,13.12MB,65.0,True,,102.0,Monolithic,1177.0,2435.0,0.28,1.0,0.23,1.0,0.0,0.0,0.0,0.0,2,12,13.12
DP-2-13,compos,BFS,610.0,110.0,786.0,164.0,89.0,15.0,1.0,41.0,30.0,21.39MB,27.0,True,,116.0,BFS,1332.0,2766.0,0.08,0.46,0.06,0.28,0.5423,0.0362,1.4823,1.0846,2,13,21.39
DP-2-13,compos,RA,61.0,47.0,65.0,51.0,53.0,4.0,0.0,1.0,1.0,18.96MB,27.0,True,,80.0,RA,1332.0,2766.0,0.04,0.05,0.02,0.02,0.1446,0.0,0.0362,0.0362,2,13,18.96
DP-2-13,compos,MA,979.0,192.0,1344.0,330.0,443.0,103.0,3.0,1.0,63.0,51.93MB,35.0,True,,478.0,MA,1332.0,2766.0,0.14,0.73,0.12,0.49,3.7238,0.1085,0.0362,2.2777,2,13,51.93
DP-2-13,mono,,1332.0,351.0,2766.0,601.0,34.0,0.0,0.0,0.0,0.0,14.84MB,76.0,True,,110.0,Monolithic,1332.0,2766.0,0.26,1.0,0.22,1.0,0.0,0.0,0.0,0.0,2,13,14.84
