,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
60,49,31,69,41,188,4,0,7,11,18.18,18.0,new,experiments/results/DP_2_2/TB_5mill_bs100/60.onnx,DP,2,2,9864.81908607483,3000000,1e-05,20,0.1,15,True,10000,True,10000,True,60
61,55,25,73,29,183,9,0,1,7,18.66,15.0,new,experiments/results/DP_2_2/TB_5mill_bs100/61.onnx,DP,2,2,10049.315153121948,3050000,1e-05,20,0.1,15,True,10000,True,10000,True,61
62,66,34,93,44,215,18,0,1,4,20.18,23.0,new,experiments/results/DP_2_2/TB_5mill_bs100/62.onnx,DP,2,2,10237.655341863632,3100000,1e-05,20,0.1,15,True,10000,True,10000,True,62
63,37,25,43,29,177,4,0,1,2,17.62,12.0,new,experiments/results/DP_2_2/TB_5mill_bs100/63.onnx,DP,2,2,10425.093554496765,3150000,1e-05,20,0.1,15,True,10000,True,10000,True,63
64,53,28,70,35,201,9,0,1,6,18.66,15.0,new,experiments/results/DP_2_2/TB_5mill_bs100/64.onnx,DP,2,2,10611.71157836914,3200000,1e-05,20,0.1,15,True,10000,True,10000,True,64
65,50,28,63,35,187,8,0,3,4,18.18,18.0,new,experiments/results/DP_2_2/TB_5mill_bs100/65.onnx,DP,2,2,10797.847514152527,3250000,1e-05,20,0.1,15,True,10000,True,10000,True,65
66,100,31,134,41,233,12,0,3,14,21.62,29.0,new,experiments/results/DP_2_2/TB_5mill_bs100/66.onnx,DP,2,2,10985.692442893982,3300000,1e-05,20,0.1,15,True,10000,True,10000,True,66
67,99,31,126,38,208,13,2,1,6,22.18,19.0,new,experiments/results/DP_2_2/TB_5mill_bs100/67.onnx,DP,2,2,11174.571463108063,3350000,1e-05,20,0.1,15,True,10000,True,10000,True,67
68,89,31,131,41,194,28,0,1,3,23.62,32.0,new,experiments/results/DP_2_2/TB_5mill_bs100/68.onnx,DP,2,2,11371.18119764328,3400000,1e-05,20,0.1,15,True,10000,True,10000,True,68
69,104,36,153,51,252,29,0,1,10,23.62,37.0,new,experiments/results/DP_2_2/TB_5mill_bs100/69.onnx,DP,2,2,11522.27633857727,3450000,1e-05,20,0.1,15,True,10000,True,10000,True,69
