,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,ra feature,idx
68,135,100,259,176,281,122,0,1,6,20.98,44.0,new,experiments/results/TA_2_2/TB_1mill/68.onnx,TA,2,2,1119.2127287387848,680000,1e-05,20,0.1,15,True,10000,True,68
69,76,45,103,56,225,27,0,1,6,25.14,22.0,new,experiments/results/TA_2_2/TB_1mill/69.onnx,TA,2,2,1136.8477973937988,690000,1e-05,20,0.1,15,True,10000,True,69
70,87,46,145,57,234,47,0,1,17,28.18,45.0,new,experiments/results/TA_2_2/TB_1mill/70.onnx,TA,2,2,1154.6349585056305,700000,1e-05,20,0.1,15,True,10000,True,70
71,133,97,253,172,323,115,0,1,6,17.99,54.0,new,experiments/results/TA_2_2/TB_1mill/71.onnx,TA,2,2,1171.7056467533112,710000,1e-05,20,0.1,15,True,10000,True,71
72,84,45,125,56,265,41,0,1,6,26.66,35.0,new,experiments/results/TA_2_2/TB_1mill/72.onnx,TA,2,2,1188.4682049751282,720000,1e-05,20,0.1,15,True,10000,True,72
73,139,100,266,172,344,98,0,1,18,15.99,44.0,new,experiments/results/TA_2_2/TB_1mill/73.onnx,TA,2,2,1205.395452260971,730000,1e-05,20,0.1,15,True,10000,True,73
74,113,55,191,76,233,1,0,1,9,29.14,38.0,new,experiments/results/TA_2_2/TB_1mill/74.onnx,TA,2,2,1222.3359439373016,740000,1e-05,20,0.1,15,True,10000,True,74
75,86,45,143,56,249,45,0,1,18,27.62,30.0,new,experiments/results/TA_2_2/TB_1mill/75.onnx,TA,2,2,1239.6805698871613,750000,1e-05,20,0.1,15,True,10000,True,75
76,107,65,187,97,322,76,0,1,6,11.93,66.0,new,experiments/results/TA_2_2/TB_1mill/76.onnx,TA,2,2,1257.2866642475128,760000,1e-05,20,0.1,15,True,10000,True,76
77,84,53,127,71,240,42,0,1,6,26.18,16.0,new,experiments/results/TA_2_2/TB_1mill/77.onnx,TA,2,2,1275.1817178726196,770000,1e-05,20,0.1,15,True,10000,True,77
78,127,82,237,137,266,85,0,1,16,15.99,48.0,new,experiments/results/TA_2_2/TB_1mill/78.onnx,TA,2,2,1292.2827353477478,780000,1e-05,20,0.1,15,True,10000,True,78
79,138,101,267,177,352,111,0,1,8,19.95,64.0,new,experiments/results/TA_2_2/TB_1mill/79.onnx,TA,2,2,1308.3947491645813,790000,1e-05,20,0.1,15,True,10000,True,79
80,91,53,137,71,244,44,0,1,7,26.66,28.0,new,experiments/results/TA_2_2/TB_1mill/80.onnx,TA,2,2,1324.731380701065,800000,1e-05,20,0.1,15,True,10000,True,80
81,87,45,141,56,272,47,0,1,13,27.62,36.0,new,experiments/results/TA_2_2/TB_1mill/81.onnx,TA,2,2,1341.1289598941803,810000,1e-05,20,0.1,15,True,10000,True,81
82,123,80,228,132,322,98,0,1,9,14.95,37.0,new,experiments/results/TA_2_2/TB_1mill/82.onnx,TA,2,2,1357.6215143203735,820000,1e-05,20,0.1,15,True,10000,True,82
83,83,45,130,56,239,43,0,1,10,27.14,30.0,new,experiments/results/TA_2_2/TB_1mill/83.onnx,TA,2,2,1374.262032032013,830000,1e-05,20,0.1,15,True,10000,True,83
84,140,99,283,174,340,117,0,1,14,18.97,50.0,new,experiments/results/TA_2_2/TB_1mill/84.onnx,TA,2,2,1390.588321685791,840000,1e-05,20,0.1,15,True,10000,True,84
85,105,63,179,91,281,72,0,1,8,8.94,43.0,new,experiments/results/TA_2_2/TB_1mill/85.onnx,TA,2,2,1407.075769662857,850000,1e-05,20,0.1,15,True,10000,True,85
86,86,45,139,56,279,41,0,1,18,27.62,37.0,new,experiments/results/TA_2_2/TB_1mill/86.onnx,TA,2,2,1423.7360906600952,860000,1e-05,20,0.1,15,True,10000,True,86
87,140,99,272,174,355,117,0,1,15,18.97,59.0,new,experiments/results/TA_2_2/TB_1mill/87.onnx,TA,2,2,1440.8684387207031,870000,1e-05,20,0.1,15,True,10000,True,87
88,134,83,264,133,272,116,0,1,16,17.98,41.0,new,experiments/results/TA_2_2/TB_1mill/88.onnx,TA,2,2,1458.1390490531921,880000,1e-05,20,0.1,15,True,10000,True,88
89,103,49,173,63,299,51,0,1,19,29.62,33.0,new,experiments/results/TA_2_2/TB_1mill/89.onnx,TA,2,2,1475.4849424362183,890000,1e-05,20,0.1,15,True,10000,True,89
90,137,95,246,158,359,102,0,1,10,17.0,62.0,new,experiments/results/TA_2_2/TB_1mill/90.onnx,TA,2,2,1493.1330943107605,900000,1e-05,20,0.1,15,True,10000,True,90
91,107,63,181,92,306,60,0,1,14,8.99,38.0,new,experiments/results/TA_2_2/TB_1mill/91.onnx,TA,2,2,1511.3156237602234,910000,1e-05,20,0.1,15,True,10000,True,91
92,121,70,224,105,285,64,0,1,18,12.98,39.0,new,experiments/results/TA_2_2/TB_1mill/92.onnx,TA,2,2,1528.7791290283203,920000,1e-05,20,0.1,15,True,10000,True,92
93,105,65,179,95,256,56,0,1,17,8.96,38.0,new,experiments/results/TA_2_2/TB_1mill/93.onnx,TA,2,2,1545.0392787456512,930000,1e-05,20,0.1,15,True,10000,True,93
94,99,63,165,92,316,52,0,1,17,29.14,34.0,new,experiments/results/TA_2_2/TB_1mill/94.onnx,TA,2,2,1561.3515086174011,940000,1e-05,20,0.1,15,True,10000,True,94
95,96,61,160,88,255,58,0,1,11,28.66,24.0,new,experiments/results/TA_2_2/TB_1mill/95.onnx,TA,2,2,1577.4978833198547,950000,1e-05,20,0.1,15,True,10000,True,95
96,75,45,110,56,252,25,0,1,16,24.66,29.0,new,experiments/results/TA_2_2/TB_1mill/96.onnx,TA,2,2,1593.8096461296082,960000,1e-05,20,0.1,15,True,10000,True,96
97,140,101,269,177,337,114,0,1,15,17.97,50.0,new,experiments/results/TA_2_2/TB_1mill/97.onnx,TA,2,2,1609.8623461723328,970000,1e-05,20,0.1,15,True,10000,True,97
98,85,53,130,71,211,43,0,1,6,26.18,30.0,new,experiments/results/TA_2_2/TB_1mill/98.onnx,TA,2,2,1625.510313987732,980000,1e-05,20,0.1,15,True,10000,True,98
99,82,45,122,56,284,40,0,1,6,26.66,35.0,new,experiments/results/TA_2_2/TB_1mill/99.onnx,TA,2,2,1641.1948056221008,990000,1e-05,20,0.1,15,True,10000,True,99
100,87,45,132,56,216,41,0,1,8,27.14,31.0,new,experiments/results/TA_2_2/TB_1mill/100.onnx,TA,2,2,1656.9459528923035,1000000,1e-05,20,0.1,15,True,10000,True,100
