,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
54,86.0,281,175,2,2,DP,11,2221.73832321167,3550000,-107.93143131760984,27,0.46289355,-0.9150784,-0.4869223,0.6629974,0.84247744,-7.1525574e-07,-2.2813993,-1.3692223,-0.66320896,-2.0711577,-1.6029915
55,28424.0,4468,2734,3,3,DP,11,2221.73832321167,3550000,-107.93143131760984,27,0.46289355,-0.9150784,-0.4869223,0.6629974,0.84247744,-7.1525574e-07,-2.2813993,-1.3692223,-0.66320896,-2.0711577,-1.6029915
56,89.0,268,170,2,2,DP,11,220.3896701335907,400000,-93.33455183176659,28,0.11044753,-0.46739483,-0.14836457,0.023896754,0.7549463,-8.34465e-07,-3.3052704,-1.8856509,-0.74304587,-1.8646548,-2.5330627
57,37212.0,5338,2803,3,3,DP,11,220.3896701335907,400000,-93.33455183176659,28,0.11044753,-0.46739483,-0.14836457,0.023896754,0.7549463,-8.34465e-07,-3.3052704,-1.8856509,-0.74304587,-1.8646548,-2.5330627
58,18.0,81,54,2,2,DP,11,305.71678709983826,550000,-95.16408879513186,29,-0.15807217,-0.25511384,-0.5539107,0.21147019,0.63232756,-9.536743e-07,-3.265073,-2.0079312,-1.0004545,-3.08284,-3.0146322
59,22260.0,4454,2227,3,3,DP,11,305.71678709983826,550000,-95.16408879513186,29,-0.15807217,-0.25511384,-0.5539107,0.21147019,0.63232756,-9.536743e-07,-3.265073,-2.0079312,-1.0004545,-3.08284,-3.0146322
60,74.0,233,175,2,2,DP,11,479.146196603775,850000,-93.24381868956446,30,0.42745915,-0.5555108,-0.22015604,0.7014962,0.8410262,-9.536743e-07,-3.9546833,-2.5818553,-1.164756,-1.3677785,-2.614749
61,24205.0,4241,2835,3,3,DP,11,479.146196603775,850000,-93.24381868956446,30,0.42745915,-0.5555108,-0.22015604,0.7014962,0.8410262,-9.536743e-07,-3.9546833,-2.5818553,-1.164756,-1.3677785,-2.614749
62,90.0,299,175,2,2,DP,11,899.3204081058502,1550000,-105.87872167908175,31,0.2696864,-0.5274945,-0.03514503,0.62880456,0.50007975,-1.0728836e-06,-4.2752934,-2.6273277,-0.62764657,-1.420813,-2.7183707
63,46125.0,5162,2835,3,3,DP,11,899.3204081058502,1550000,-105.87872167908175,31,0.2696864,-0.5274945,-0.03514503,0.62880456,0.50007975,-1.0728836e-06,-4.2752934,-2.6273277,-0.62764657,-1.420813,-2.7183707
64,76.0,243,175,2,2,DP,11,746.1340928077698,1300000,-91.15590950936041,32,0.7571455,-0.2856828,0.05065757,0.8624939,0.8650459,-7.1525574e-07,-3.207632,-2.1106517,-0.182924,-1.114085,-2.3387685
