,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
57,14285.0,4704,2835,3,3,DP,11,149.75639247894287,282000,1e-05,20,0.1,-85.670876,140,0.31734243,-0.2623117,-0.004641831,0.7443962,1.2142942,7.1525574e-07,-4.3745847,-3.1587741,-0.4327525,-1.1187458,-3.117046
58,29.0,175,116,2,2,DP,11,155.11771607398987,292000,1e-05,20,0.1,-102.22054,145,-0.33085436,-0.63120294,-0.6836446,0.40163034,0.61067224,7.1525574e-07,-4.674718,-3.6988447,-0.79434776,-2.756013,-4.5868545
59,7354.0,3707,2076,3,3,DP,11,155.11771607398987,292000,1e-05,20,0.1,-102.22054,145,-0.33085436,-0.63120294,-0.6836446,0.40163034,0.61067224,7.1525574e-07,-4.674718,-3.6988447,-0.79434776,-2.756013,-4.5868545
60,8.0,72,54,2,2,DP,11,160.6280529499054,302000,1e-05,20,0.1,-117.40545,150,0.06640152,-0.4222753,-0.19738626,0.6857659,0.56834173,1.66893e-06,-5.3742013,-4.5758123,-1.2165798,-2.1232138,-4.9719706
61,9513.0,4383,2831,3,3,DP,11,160.6280529499054,302000,1e-05,20,0.1,-117.40545,150,0.06640152,-0.4222753,-0.19738626,0.6857659,0.56834173,1.66893e-06,-5.3742013,-4.5758123,-1.2165798,-2.1232138,-4.9719706
62,28.0,161,129,2,2,DP,11,165.9610538482666,312000,1e-05,20,0.1,-92.473015,155,0.61026216,-0.06783581,-0.292519,1.0327739,1.5457067,0.0,-2.815275,-2.041545,0.22154203,-0.3276729,-2.156393
63,14101.0,4871,2835,3,3,DP,11,165.9610538482666,312000,1e-05,20,0.1,-92.473015,155,0.61026216,-0.06783581,-0.292519,1.0327739,1.5457067,0.0,-2.815275,-2.041545,0.22154203,-0.3276729,-2.156393
64,10.0,90,63,2,2,DP,11,171.32705116271973,322000,1e-05,20,0.1,-92.20984,160,-0.19080731,-0.5042095,-0.8520041,0.55175084,0.96715117,1.1920929e-06,-3.7137284,-2.9044323,-0.7158669,-3.0828733,-3.7064495
65,1940.0,1916,1113,3,3,DP,11,171.32705116271973,322000,1e-05,20,0.1,-92.20984,160,-0.19080731,-0.5042095,-0.8520041,0.55175084,0.96715117,1.1920929e-06,-3.7137284,-2.9044323,-0.7158669,-3.0828733,-3.7064495
66,9.0,71,45,2,2,DP,11,176.72657775878906,332000,1e-05,20,0.1,-108.53097,165,-0.5185432,-0.8849708,-0.7262352,0.0658147,0.6648978,1.66893e-06,-4.4477267,-3.3741717,-1.4407698,-3.0479593,-4.470542
67,2350.0,2492,1285,3,3,DP,11,176.72657775878906,332000,1e-05,20,0.1,-108.53097,165,-0.5185432,-0.8849708,-0.7262352,0.0658147,0.6648978,1.66893e-06,-4.4477267,-3.3741717,-1.4407698,-3.0479593,-4.470542
