,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,algorithm,heuristic,problem,n,k
96,19,19,20,20,76,2,0,1,0,21.14,49.0,false,OpenSet RA,r,TL,7,7
97,19,19,20,20,119,2,0,1,0,21.62,79.0,false,OpenSet RA,r,TL,7,8
98,19,19,20,20,79,2,0,1,0,22.18,47.0,false,OpenSet RA,r,TL,7,9
99,19,19,20,20,99,2,0,1,0,22.66,53.0,false,OpenSet RA,r,TL,7,10
100,19,19,20,20,90,2,0,1,0,23.62,52.0,false,OpenSet RA,r,TL,7,11
101,19,19,20,20,136,2,0,1,0,24.18,84.0,false,OpenSet RA,r,TL,7,12
102,19,19,20,20,94,2,0,1,0,25.14,54.0,false,OpenSet RA,r,TL,7,13
103,19,19,20,20,93,2,0,1,0,25.62,50.0,false,OpenSet RA,r,TL,7,14
104,19,19,20,20,100,2,0,1,0,26.66,57.0,false,OpenSet RA,r,TL,7,15
105,246,21,344,22,277,2,0,1,109,29.53,234.0,false,OpenSet RA,r,TL,8,1
106,21,21,22,22,94,2,0,1,0,21.14,71.0,false,OpenSet RA,r,TL,8,2
107,21,21,22,22,86,2,0,1,0,21.62,59.0,false,OpenSet RA,r,TL,8,3
108,21,21,22,22,88,2,0,1,0,21.7,64.0,false,OpenSet RA,r,TL,8,4
109,21,21,22,22,89,2,0,1,0,22.18,61.0,false,OpenSet RA,r,TL,8,5
110,21,21,22,22,92,2,0,1,0,22.66,62.0,false,OpenSet RA,r,TL,8,6
111,21,21,22,22,95,2,0,1,0,23.14,67.0,false,OpenSet RA,r,TL,8,7
112,21,21,22,22,133,2,0,1,0,23.7,91.0,false,OpenSet RA,r,TL,8,8
113,21,21,22,22,96,2,0,1,0,24.66,64.0,false,OpenSet RA,r,TL,8,9
114,21,21,22,22,103,2,0,1,0,25.14,70.0,false,OpenSet RA,r,TL,8,10
115,21,21,22,22,108,2,0,1,0,25.7,71.0,false,OpenSet RA,r,TL,8,11
116,21,21,22,22,165,2,0,1,0,26.66,110.0,false,OpenSet RA,r,TL,8,12
117,21,21,22,22,177,2,0,1,0,27.62,112.0,false,OpenSet RA,r,TL,8,13
118,21,21,22,22,168,2,0,1,0,28.66,105.0,false,OpenSet RA,r,TL,8,14
119,21,21,22,22,129,2,0,1,0,29.14,76.0,false,OpenSet RA,r,TL,8,15
120,248,23,346,24,346,2,0,1,109,40.51,298.0,false,OpenSet RA,r,TL,9,1
121,23,23,24,24,107,2,0,1,0,23.62,84.0,false,OpenSet RA,r,TL,9,2
