,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
62,8.0,73,45,2,2,AT,11,34.44631791114807,64000,1e-05,20,0.1,-48.457146,31,0.5300708,-0.4068805,-1.1135572,0.69400424,0.80783606,-2.3841858e-06,-6.893485,-4.712809,0.37474087,-1.6363848,-5.7090497
63,299.0,693,413,3,3,AT,11,34.44631791114807,64000,1e-05,20,0.1,-48.457146,31,0.5300708,-0.4068805,-1.1135572,0.69400424,0.80783606,-2.3841858e-06,-6.893485,-4.712809,0.37474087,-1.6363848,-5.7090497
64,8.0,73,45,2,2,AT,11,35.524965047836304,66000,1e-05,20,0.1,-48.729492,32,0.44246966,-0.33710945,-1.0478729,0.75177205,0.9439059,-2.1457672e-06,-6.9198604,-4.769443,0.37477398,-1.7155154,-5.717631
65,295.0,673,411,3,3,AT,11,35.524965047836304,66000,1e-05,20,0.1,-48.729492,32,0.44246966,-0.33710945,-1.0478729,0.75177205,0.9439059,-2.1457672e-06,-6.9198604,-4.769443,0.37477398,-1.7155154,-5.717631
66,5.0,73,45,2,2,AT,11,36.63123822212219,68000,1e-05,20,0.1,-47.796696,33,0.6058514,-0.21748233,-0.9451072,0.886704,1.0949128,-1.9073486e-06,-6.801335,-4.595816,0.37104145,-1.8035926,-5.62428
67,303.0,843,463,3,3,AT,11,36.63123822212219,68000,1e-05,20,0.1,-47.796696,33,0.6058514,-0.21748233,-0.9451072,0.886704,1.0949128,-1.9073486e-06,-6.801335,-4.595816,0.37104145,-1.8035926,-5.62428
68,5.0,71,45,2,2,AT,11,37.716334104537964,70000,1e-05,20,0.1,-47.528366,34,0.5892771,-0.10571027,-0.8453433,0.9893189,1.247829,-1.9073486e-06,-6.828995,-4.675118,0.3731631,-1.8614984,-5.6394987
69,330.0,820,458,3,3,AT,11,37.716334104537964,70000,1e-05,20,0.1,-47.528366,34,0.5892771,-0.10571027,-0.8453433,0.9893189,1.247829,-1.9073486e-06,-6.828995,-4.675118,0.3731631,-1.8614984,-5.6394987
70,9.0,70,45,2,2,AT,11,38.80603051185608,72000,1e-05,20,0.1,-47.294594,35,0.3976707,-0.1295917,-0.7426104,0.89110786,1.3980561,-1.66893e-06,-6.893545,-4.7134857,0.3784594,-1.8823168,-5.6934886
71,291.0,794,456,3,3,AT,11,38.80603051185608,72000,1e-05,20,0.1,-47.294594,35,0.3976707,-0.1295917,-0.7426104,0.89110786,1.3980561,-1.66893e-06,-6.893545,-4.7134857,0.3784594,-1.8823168,-5.6934886
72,8.0,72,45,2,2,AT,11,39.890018701553345,74000,1e-05,20,0.1,-47.228497,36,0.47680783,-0.14024615,-0.793653,1.00756,1.5155674,-2.861023e-06,-6.8338733,-4.734764,0.3762386,-1.8213135,-5.6711955
73,280.0,761,455,3,3,AT,11,39.890018701553345,74000,1e-05,20,0.1,-47.228497,36,0.47680783,-0.14024615,-0.793653,1.00756,1.5155674,-2.861023e-06,-6.8338733,-4.734764,0.3762386,-1.8213135,-5.6711955
74,9.0,73,45,2,2,AT,11,41.00507569313049,76000,1e-05,20,0.1,-47.988953,37,0.5173903,-0.15709186,-0.81905955,0.99340874,1.5821993,-2.1457672e-06,-6.7330623,-4.7169795,0.36260265,-1.9271231,-5.6232705
75,279.0,794,457,3,3,AT,11,41.00507569313049,76000,1e-05,20,0.1,-47.988953,37,0.5173903,-0.15709186,-0.81905955,0.99340874,1.5821993,-2.1457672e-06,-6.7330623,-4.7169795,0.36260265,-1.9271231,-5.6232705
76,8.0,69,45,2,2,AT,11,42.08931827545166,78000,1e-05,20,0.1,-46.312416,38,0.43231133,-0.1486814,-0.62544125,0.973188,1.7167836,-2.1457672e-06,-6.8682013,-4.725733,0.3773853,-1.8254777,-5.68973
77,279.0,660,408,3,3,AT,11,42.08931827545166,78000,1e-05,20,0.1,-46.312416,38,0.43231133,-0.1486814,-0.62544125,0.973188,1.7167836,-2.1457672e-06,-6.8682013,-4.725733,0.3773853,-1.8254777,-5.68973
78,6.0,73,45,2,2,AT,11,43.168415546417236,80000,1e-05,20,0.1,-47.17309,39,0.5212781,-0.12297845,-0.7181995,1.0020036,1.7566696,-1.1920929e-06,-6.7436786,-4.705911,0.36707366,-1.9198328,-5.624937
79,258.0,785,457,3,3,AT,11,43.168415546417236,80000,1e-05,20,0.1,-47.17309,39,0.5212781,-0.12297845,-0.7181995,1.0020036,1.7566696,-1.1920929e-06,-6.7436786,-4.705911,0.36707366,-1.9198328,-5.624937
