,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
80,72,25,96,29,231,9,1,2,1,20.18,26.0,new,experiments/results/DP_2_2/ra_feature2_2h/80.onnx,DP,2,2,5505.682473659515,4000000,1e-05,20,0.1,17,True,80
81,70,28,104,35,214,20,0,1,7,20.66,28.0,new,experiments/results/DP_2_2/ra_feature2_2h/81.onnx,DP,2,2,5574.41001868248,4050000,1e-05,20,0.1,17,True,81
82,51,28,72,35,164,13,0,1,3,18.66,15.0,new,experiments/results/DP_2_2/ra_feature2_2h/82.onnx,DP,2,2,5643.067209482193,4100000,1e-05,20,0.1,17,True,82
83,113,31,173,38,205,24,1,1,15,24.66,28.0,new,experiments/results/DP_2_2/ra_feature2_2h/83.onnx,DP,2,2,5711.981917142868,4150000,1e-05,20,0.1,17,True,83
84,127,89,215,140,226,52,0,2,14,8.62,33.0,new,experiments/results/DP_2_2/ra_feature2_2h/84.onnx,DP,2,2,5780.90825343132,4200000,1e-05,20,0.1,17,True,84
85,38,25,43,29,178,4,0,1,2,17.63,11.0,new,experiments/results/DP_2_2/ra_feature2_2h/85.onnx,DP,2,2,5849.911248445511,4250000,1e-05,20,0.1,17,True,85
86,85,41,138,58,208,16,2,1,18,21.62,27.0,new,experiments/results/DP_2_2/ra_feature2_2h/86.onnx,DP,2,2,5918.852793455124,4300000,1e-05,20,0.1,17,True,86
87,167,74,283,124,278,31,1,1,9,10.73,46.0,new,experiments/results/DP_2_2/ra_feature2_2h/87.onnx,DP,2,2,5988.214186429977,4350000,1e-05,20,0.1,17,True,87
88,47,28,57,35,176,5,0,1,3,18.18,12.0,new,experiments/results/DP_2_2/ra_feature2_2h/88.onnx,DP,2,2,6057.342935562134,4400000,1e-05,20,0.1,17,True,88
89,54,28,77,35,188,14,0,1,3,19.14,25.0,new,experiments/results/DP_2_2/ra_feature2_2h/89.onnx,DP,2,2,6126.384515285492,4450000,1e-05,20,0.1,17,True,89
90,55,31,75,41,214,15,0,2,1,19.14,17.0,new,experiments/results/DP_2_2/ra_feature2_2h/90.onnx,DP,2,2,6195.3862562179565,4500000,1e-05,20,0.1,17,True,90
91,62,28,94,35,216,15,0,1,6,19.62,23.0,new,experiments/results/DP_2_2/ra_feature2_2h/91.onnx,DP,2,2,6264.389991044998,4550000,1e-05,20,0.1,17,True,91
92,79,44,122,64,207,15,2,1,12,21.14,22.0,new,experiments/results/DP_2_2/ra_feature2_2h/92.onnx,DP,2,2,6333.473980665207,4600000,1e-05,20,0.1,17,True,92
93,70,28,102,35,215,17,0,1,8,20.18,27.0,new,experiments/results/DP_2_2/ra_feature2_2h/93.onnx,DP,2,2,6402.6534605026245,4650000,1e-05,20,0.1,17,True,93
94,45,25,55,29,198,4,0,2,4,17.7,17.0,new,experiments/results/DP_2_2/ra_feature2_2h/94.onnx,DP,2,2,6471.88137960434,4700000,1e-05,20,0.1,17,True,94
95,69,28,102,35,204,11,0,1,8,19.62,25.0,new,experiments/results/DP_2_2/ra_feature2_2h/95.onnx,DP,2,2,6540.973638057709,4750000,1e-05,20,0.1,17,True,95
96,41,25,50,29,171,4,0,1,2,17.62,15.0,new,experiments/results/DP_2_2/ra_feature2_2h/96.onnx,DP,2,2,6610.21629524231,4800000,1e-05,20,0.1,17,True,96
97,93,28,145,35,234,23,0,2,0,24.66,49.0,new,experiments/results/DP_2_2/ra_feature2_2h/97.onnx,DP,2,2,6679.384672641754,4850000,1e-05,20,0.1,17,True,97
98,140,34,211,44,224,34,1,1,16,28.18,40.0,new,experiments/results/DP_2_2/ra_feature2_2h/98.onnx,DP,2,2,6748.556514501572,4900000,1e-05,20,0.1,17,True,98
99,146,36,221,52,260,40,0,2,9,9.67,50.0,new,experiments/results/DP_2_2/ra_feature2_2h/99.onnx,DP,2,2,6817.795761823654,4950000,1e-05,20,0.1,17,True,99
100,61,31,90,41,208,10,0,1,11,19.14,19.0,new,experiments/results/DP_2_2/ra_feature2_2h/100.onnx,DP,2,2,6886.675679445267,5000000,1e-05,20,0.1,17,True,100
101,40,25,48,29,176,4,0,1,4,17.62,17.0,new,experiments/results/DP_2_2/ra_feature2_2h/101.onnx,DP,2,2,6956.090242385864,5050000,1e-05,20,0.1,17,True,101
102,34,25,41,29,177,4,0,2,3,17.14,11.0,new,experiments/results/DP_2_2/ra_feature2_2h/102.onnx,DP,2,2,7025.444168806076,5100000,1e-05,20,0.1,17,True,102
103,92,25,135,29,241,17,2,2,5,22.18,35.0,new,experiments/results/DP_2_2/ra_feature2_2h/103.onnx,DP,2,2,7094.842871189117,5150000,1e-05,20,0.1,17,True,103
104,41,28,55,35,185,10,0,1,1,18.18,15.0,new,experiments/results/DP_2_2/ra_feature2_2h/104.onnx,DP,2,2,7164.177317857742,5200000,1e-05,20,0.1,17,True,104
