,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx,Exception
133,15.0,6.0,26.0,8.0,196.0,2.0,0.0,1.0,0.0,15.5,28.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,10,2,
134,16.0,6.0,28.0,8.0,198.0,2.0,0.0,1.0,0.0,15.53,30.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,11,2,
135,17.0,6.0,30.0,8.0,202.0,2.0,0.0,1.0,0.0,16.0,31.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,12,2,
136,18.0,6.0,32.0,8.0,202.0,2.0,0.0,1.0,0.0,16.0,28.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,13,2,
137,19.0,6.0,34.0,8.0,203.0,2.0,0.0,1.0,0.0,16.0,33.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,14,2,
138,20.0,6.0,36.0,8.0,213.0,2.0,0.0,1.0,0.0,16.0,41.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,1,15,2,
139,6.0,0.0,5.0,0.0,183.0,0.0,0.0,0.0,1.0,0.0,15.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,1,2,
140,31.0,27.0,55.0,45.0,222.0,15.0,0.0,1.0,0.0,16.48,42.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,2,2,
141,43.0,27.0,83.0,45.0,252.0,26.0,0.0,1.0,0.0,17.44,68.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,3,2,
142,57.0,27.0,119.0,45.0,267.0,41.0,0.0,1.0,0.0,20.48,81.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,4,2,
143,73.0,30.0,163.0,48.0,304.0,61.0,0.0,1.0,0.0,23.92,104.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,5,2,
144,91.0,27.0,215.0,45.0,353.0,99.0,0.0,1.0,0.0,14.72,129.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,6,2,
145,111.0,33.0,275.0,51.0,428.0,112.0,0.0,1.0,0.0,24.77,192.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,7,2,
146,133.0,32.0,343.0,50.0,438.0,150.0,0.0,1.0,0.0,37.91,185.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,8,2,
147,157.0,31.0,419.0,49.0,513.0,198.0,0.0,1.0,0.0,57.98,206.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,9,2,
148,183.0,39.0,503.0,57.0,643.0,256.0,0.0,1.0,0.0,87.99,272.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,10,2,
149,211.0,43.0,595.0,61.0,725.0,269.0,0.0,1.0,0.0,122.2,301.0,False,new,experiments/results/AT_2_2/pathLabels/2.onnx,AT,2,11,2,
