,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg_q,idx
145,3778.0,3358,1077,3,3,TA,11,1308.740894794464,1800000,-116.31929781314749,72
146,22.0,128,80,2,2,TA,11,2879.448037624359,3850000,-80.31208784149963,73
147,583.0,478,267,3,3,TA,11,2879.448037624359,3850000,-80.31208784149963,73
148,73.0,128,80,2,2,TA,11,2063.39435839653,2800000,-76.57156091286988,74
149,688.0,517,278,3,3,TA,11,2063.39435839653,2800000,-76.57156091286988,74
150,19.0,109,75,2,2,TA,11,3161.903591632843,4200000,-71.02940137666171,75
151,699.0,523,279,3,3,TA,11,3161.903591632843,4200000,-71.02940137666171,75
152,57.0,292,144,2,2,TA,11,1490.5741419792175,2050000,-122.76624921210326,76
153,4936.0,3360,1091,3,3,TA,11,1490.5741419792175,2050000,-122.76624921210326,76
154,21.0,126,79,2,2,TA,11,3122.658851146698,4150000,-79.7657187145363,77
155,725.0,528,288,3,3,TA,11,3122.658851146698,4150000,-79.7657187145363,77
156,50.0,299,139,2,2,TA,11,912.9186882972717,1250000,-124.74544861987953,78
157,4348.0,3519,1091,3,3,TA,11,912.9186882972717,1250000,-124.74544861987953,78
158,20.0,120,79,2,2,TA,11,2181.659955263138,2950000,-83.25449825429608,79
159,2329.0,1158,551,3,3,TA,11,2181.659955263138,2950000,-83.25449825429608,79
160,60.0,304,144,2,2,TA,11,2561.405123949051,3450000,-107.76510547018388,80
161,6388.0,3329,1091,3,3,TA,11,2561.405123949051,3450000,-107.76510547018388,80
162,51.0,269,144,2,2,TA,11,3325.318197250366,4400000,-97.09736565251711,81
163,8756.0,3285,1091,3,3,TA,11,3325.318197250366,4400000,-97.09736565251711,81
164,29.0,199,97,2,2,TA,11,3406.372663497925,4500000,-79.77476853752816,82
165,659.0,1140,476,3,3,TA,11,3406.372663497925,4500000,-79.77476853752816,82
166,53.0,269,136,2,2,TA,11,809.2934193611145,1100000,-114.767987864084,83
167,6652.0,3316,1091,3,3,TA,11,809.2934193611145,1100000,-114.767987864084,83
168,53.0,298,138,2,2,TA,11,1018.5217633247375,1400000,-125.70713623380307,84
169,3944.0,3394,1061,3,3,TA,11,1018.5217633247375,1400000,-125.70713623380307,84
170,78.0,266,144,2,2,TA,11,550.094712972641,750000,-89.98565080720059,85
171,9747.0,3133,1091,3,3,TA,11,550.094712972641,750000,-89.98565080720059,85
172,55.0,269,144,2,2,TA,11,2446.671554327011,3300000,-116.91245817915188,86
173,9033.0,3169,1091,3,3,TA,11,2446.671554327011,3300000,-116.91245817915188,86
174,54.0,288,140,2,2,TA,11,1199.623822927475,1650000,-126.27834010811378,87
175,4215.0,3266,1078,3,3,TA,11,1199.623822927475,1650000,-126.27834010811378,87
176,55.0,275,141,2,2,TA,11,2407.944826364517,3250000,-116.06008537047185,88
177,7012.0,3246,1079,3,3,TA,11,2407.944826364517,3250000,-116.06008537047185,88
178,98.0,319,144,2,2,TA,11,843.6769788265228,1150000,-118.27385709367412,89
179,3617.0,3491,1091,3,3,TA,11,843.6769788265228,1150000,-118.27385709367412,89
180,75.0,336,144,2,2,TA,11,137.73901057243347,200000,-11.093173883164377,90
181,12745.0,3476,1091,3,3,TA,11,137.73901057243347,200000,-11.093173883164377,90
182,64.0,279,144,2,2,TA,11,212.0971086025238,300000,-35.25037024046072,91
183,11572.0,2777,1091,3,3,TA,11,212.0971086025238,300000,-35.25037024046072,91
184,58.0,296,143,2,2,TA,11,3527.6099088191986,4650000,-100.4335221443364,92
185,5306.0,3294,1091,3,3,TA,11,3527.6099088191986,4650000,-100.4335221443364,92
186,66.0,316,144,2,2,TA,11,1711.2705173492432,2350000,-84.58937152142478,93
187,3941.0,3372,1091,3,3,TA,11,1711.2705173492432,2350000,-84.58937152142478,93
